date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:54	32064/32064	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:12%20GMT	http://webmarce.com/html/education/student-dashboard-favourite.html	E:/second_site/second_site/webmarce.com/html/education/student-dashboard-favourite.html	(from http://webmarce.com/html/education/index.html)
11:13:54	33122/33122	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:13%20GMT	http://webmarce.com/html/education/student-dashboard-my-courses.html	E:/second_site/second_site/webmarce.com/html/education/student-dashboard-my-courses.html	(from http://webmarce.com/html/education/index.html)
11:13:55	32310/32310	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:13%20GMT	http://webmarce.com/html/education/student-dashboard-profile.html	E:/second_site/second_site/webmarce.com/html/education/student-dashboard-profile.html	(from http://webmarce.com/html/education/index.html)
11:13:56	32724/32724	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:14%20GMT	http://webmarce.com/html/education/student-dashboard-settings.html	E:/second_site/second_site/webmarce.com/html/education/student-dashboard-settings.html	(from http://webmarce.com/html/education/index.html)
11:13:56	33368/33368	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:13:16%20GMT	http://webmarce.com/html/education/student-dashboard-statement.html	E:/second_site/second_site/webmarce.com/html/education/student-dashboard-statement.html	(from http://webmarce.com/html/education/index.html)
11:13:57	27884/27884	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:21:05%20GMT	http://webmarce.com/html/education/404-page.html	E:/second_site/second_site/webmarce.com/html/education/404-page.html	(from http://webmarce.com/html/education/index.html)
11:13:58	40556/40556	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:22:05%20GMT	http://webmarce.com/html/education/about-us.html	E:/second_site/second_site/webmarce.com/html/education/about-us.html	(from http://webmarce.com/html/education/index.html)
11:13:58	42188/42188	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:22:07%20GMT	http://webmarce.com/html/education/blog-grid.html	E:/second_site/second_site/webmarce.com/html/education/blog-grid.html	(from http://webmarce.com/html/education/index.html)
11:13:59	50156/50156	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:22:08%20GMT	http://webmarce.com/html/education/blog-list.html	E:/second_site/second_site/webmarce.com/html/education/blog-list.html	(from http://webmarce.com/html/education/index.html)
11:14:00	45307/45307	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202016%2011:22:06%20GMT	http://webmarce.com/html/education/blog-detail.html	E:/second_site/second_site/webmarce.com/html/education/blog-detail.html	(from http://webmarce.com/html/education/index.html)
